,filename,idx,label,confidence
0,AFDB_pasien_AF 3.csv,0,AF,0.9931774139404297
1,AFDB_pasien_AF 3.csv,1,AF,0.6809960603713989
2,AFDB_pasien_AF 3.csv,2,AF,0.8305526971817017
3,AFDB_pasien_AF 3.csv,3,AF,0.7987695336341858
4,AFDB_pasien_AF 3.csv,4,AF,0.7498415112495422
5,AFDB_pasien_AF 3.csv,5,AF,0.9985489249229431
6,AFDB_pasien_AF 3.csv,6,AF,0.9266533255577087
7,AFDB_pasien_AF 3.csv,7,AF,0.756682276725769
8,AFDB_pasien_AF 3.csv,8,AF,0.9974424839019775
9,AFDB_pasien_AF 3.csv,9,AF,0.5421457290649414
10,AFDB_pasien_AF 3.csv,10,AF,0.8355826139450073
11,AFDB_pasien_AF 3.csv,11,AF,0.9984961748123169
12,AFDB_pasien_AF 3.csv,12,AF,0.8688467144966125
13,AFDB_pasien_AF 3.csv,13,AF,0.9863113760948181
14,AFDB_pasien_AF 3.csv,14,N,0.8303407430648804
15,AFDB_pasien_AF 3.csv,15,N,0.8416585326194763
16,AFDB_pasien_AF 3.csv,16,AF,0.9217005968093872
17,AFDB_pasien_AF 3.csv,17,AF,0.9080882668495178
18,AFDB_pasien_AF 3.csv,18,AF,0.6679165959358215
19,AFDB_pasien_AF 3.csv,19,AF,0.8063801527023315
20,AFDB_pasien_AF 3.csv,20,AF,0.7874218225479126
21,AFDB_pasien_AF 3.csv,21,AF,0.9373196959495544
22,AFDB_pasien_AF 3.csv,22,AF,0.9254069924354553
