,filename,idx,label,confidence
0,AFDB_pasien_AF 1.csv,0,AF,0.9999994039535522
1,AFDB_pasien_AF 1.csv,1,AF,0.9833095669746399
2,AFDB_pasien_AF 1.csv,2,AF,0.9989383816719055
3,AFDB_pasien_AF 1.csv,3,AF,0.9967911839485168
4,AFDB_pasien_AF 1.csv,4,N,0.9798973202705383
5,AFDB_pasien_AF 1.csv,5,AF,0.9940715432167053
6,AFDB_pasien_AF 1.csv,6,AF,0.997462272644043
7,AFDB_pasien_AF 1.csv,7,AF,0.8167572021484375
8,AFDB_pasien_AF 1.csv,8,N,0.86310213804245
9,AFDB_pasien_AF 1.csv,9,AF,0.9604820013046265
10,AFDB_pasien_AF 1.csv,10,AF,0.8365140557289124
11,AFDB_pasien_AF 1.csv,11,AF,0.9980370402336121
12,AFDB_pasien_AF 1.csv,12,AF,0.8285547494888306
13,AFDB_pasien_AF 1.csv,13,AF,0.9999992847442627
14,AFDB_pasien_AF 1.csv,14,AF,1.0
15,AFDB_pasien_AF 1.csv,15,AF,0.9999728202819824
16,AFDB_pasien_AF 1.csv,16,AF,0.9998451471328735
17,AFDB_pasien_AF 1.csv,17,AF,0.99998939037323
18,AFDB_pasien_AF 1.csv,18,AF,0.9999929666519165
19,AFDB_pasien_AF 1.csv,19,AF,0.9794126749038696
20,AFDB_pasien_AF 1.csv,20,AF,0.9999569654464722
21,AFDB_pasien_AF 1.csv,21,AF,0.9999344348907471
22,AFDB_pasien_AF 1.csv,22,AF,0.9999516010284424
23,AFDB_pasien_AF 1.csv,23,N,0.6402548551559448
24,AFDB_pasien_AF 1.csv,24,AF,0.9999990463256836
25,AFDB_pasien_AF 1.csv,25,AF,0.9999990463256836
26,AFDB_pasien_AF 1.csv,26,AF,0.944573700428009
27,AFDB_pasien_AF 1.csv,27,AF,0.9921080470085144
28,AFDB_pasien_AF 1.csv,28,AF,0.9995403289794922
29,AFDB_pasien_AF 1.csv,29,AF,0.9223114252090454
30,AFDB_pasien_AF 1.csv,30,N,0.6857041716575623
31,AFDB_pasien_AF 1.csv,31,AF,0.9999947547912598
32,AFDB_pasien_AF 1.csv,32,AF,0.9999642372131348
